"fit_config_id","reference_fit_id","role_id","candidate_fit_id","candidate_seed_index","mean_squared_canonical_correlation","minimum_canonical_correlation","reference_rank","candidate_rank"
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A","g12s6a_01__fpca_L1_M4__09",9,0.999999313673562,0.999999656836722,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A","g12s6a_01__fpca_L1_M4__10",10,9.04127716442836e-10,3.00687165745869e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A","g12s6a_01__fpca_L1_M4__11",11,1,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A","g12s6a_01__fpca_L1_M4__12",12,9.20284320330727e-10,3.03361882960059e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__01",1,0.999999482249976,0.999999741124954,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__02",2,2.48751572201415e-09,4.98750009725729e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__03",3,0.999999924345811,0.999999962172905,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__04",4,0.0540709837271053,0.232531683275861,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__05",5,0.999999850067018,0.999999925033506,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__06",6,0.999999722485754,0.999999861242868,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__07",7,0.999999287188478,0.999999643594176,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__08",8,0.999999817092883,0.999999908546437,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__09",9,0.999998352857995,0.999999176428658,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__10",10,0.0576172118613808,0.240035855366195,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__11",11,0.999999999999999,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1","g12s6a_01__fpca_L1_M4__12",12,1.9044146925802e-09,4.36396000506443e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__01",1,0.999998950136226,0.999999475067975,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__02",2,4.06993052167704e-07,0.000637960070982271,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__03",3,0.999998860354549,0.999999430177112,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__04",4,4.57589370397315e-10,2.13913386770748e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__05",5,0.999999218120465,0.999999609060156,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__06",6,0.999998895108045,0.99999944755387,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__07",7,0.999998805798808,0.999999402899226,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__08",8,0.999999087809295,0.999999543904544,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__09",9,0.99999936469987,0.999999682349884,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__10",10,1.21107121247386e-09,3.48004484521946e-05,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__11",11,1,1,1,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2","g12s6a_01__fpca_L1_M4__12",12,8.02041123788753e-07,0.000895567487009635,1,1
