"fit_id","fit_config_id","seed_index","final_elbo","practical_converged","role_id","block","study","candidate_id","candidate_factor","factor_ppi","ppi_retained_0_5","expected_active_loading_count","loading_l2","zero_loading_direction","loading_rms","factor_process_rms","complete_contribution_rms","subject_weight","weighted_contribution_energy","rank_cap","effective_M_99pct","weighted_contribution_share"
"g12s6a_01__fpca_L1_M4__09","fpca_L1_M4",9,-120539.219049552,FALSE,"B2","specific",2,"B2_1",1,1,TRUE,48.903730881702,7.33352208146216,FALSE,0.327965077772903,1.05990512326451,0.347611866183342,0.5,0.0604170047557329,4,3,0.192019797384932
"g12s6a_01__fpca_L1_M4__10","fpca_L1_M4",10,-129532.298793229,TRUE,"A","shared",0,"A_1",1,1,TRUE,48.6993122309952,5.03249033915158,FALSE,0.225059809889078,1.05390574035884,0.23719182556617,1,0.0562599621154123,4,3,0.176159911831146
"g12s6a_01__fpca_L1_M4__10","fpca_L1_M4",10,-129532.298793229,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,74.2913316851112,8.01754720596847,FALSE,0.35855561130718,0.998804394419952,0.358126920217544,0.5,0.0641274454922516,4,4,0.200794396567447
"g12s6a_01__fpca_L1_M4__10","fpca_L1_M4",10,-129532.298793229,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,49.8531954045547,12.8379998612541,FALSE,0.574132807697939,1.09877496957588,0.630842758310817,0.5,0.1989812928566,4,4,0.623045691601408
"g12s6a_01__fpca_L1_M4__11","fpca_L1_M4",11,-120409.930568155,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.5908781342537,10.7162055456226,FALSE,0.479243281217445,1.0855370129487,0.520236319968521,1,0.270645828614389,4,4,0.684457102874047
"g12s6a_01__fpca_L1_M4__11","fpca_L1_M4",11,-120409.930568155,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.5451168835522,8.2817094419905,FALSE,0.370369305643852,0.995439834917076,0.368680360468468,0.5,0.0679626040975798,4,4,0.171875869443687
"g12s6a_01__fpca_L1_M4__11","fpca_L1_M4",11,-120409.930568155,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.9414394614156,7.12740096189066,FALSE,0.318747061073698,1.05748669916696,0.337070777483995,0.5,0.0568083545168326,4,4,0.143667027682265
"g12s6a_01__fpca_L1_M4__12","fpca_L1_M4",12,-129260.864839634,FALSE,"A","shared",0,"A_1",1,1,TRUE,49.0726239216714,5.76546325261549,FALSE,0.257839355092506,0.983244653557761,0.253519167371487,1,0.0642719682247321,4,4,0.316621196139783
"g12s6a_01__fpca_L1_M4__12","fpca_L1_M4",12,-129260.864839634,FALSE,"B1","specific",1,"B1_1",1,1,TRUE,50.5816656340419,8.46435844171552,FALSE,0.378537617232002,1.055688674293,0.399617875305681,0.5,0.0798472231319135,4,4,0.39334913796429
"g12s6a_01__fpca_L1_M4__12","fpca_L1_M4",12,-129260.864839634,FALSE,"B2","specific",2,"B2_1",1,1,TRUE,49.4866210036377,7.6675785727192,FALSE,0.342904538228419,1.00069973158861,0.343144479365693,0.5,0.0588740668595763,4,4,0.290029665895926
"g12s6a_01__truth_L1_M2__01","truth_L1_M2",1,-123435.846318125,TRUE,"A","shared",0,"A_1",1,1,TRUE,49.9894823482406,8.86771895792784,FALSE,0.396576447905805,1.10048711401221,0.436427270641073,1,0.190468762559216,2,2,0.612398970897807
"g12s6a_01__truth_L1_M2__01","truth_L1_M2",1,-123435.846318125,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.3002712093516,7.81020828559535,FALSE,0.349283132900466,0.992465465811503,0.346651447194162,0.5,0.0600836129209034,2,2,0.193182032718588
"g12s6a_01__truth_L1_M2__01","truth_L1_M2",1,-123435.846318125,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,49.1429152769816,7.24718447667905,FALSE,0.324103942706712,1.07298755804677,0.347759498038206,0.5,0.0604683342378925,2,2,0.194418996383605
"g12s6a_01__truth_L1_M2__02","truth_L1_M2",2,-129888.861774087,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.1656727131264,5.63144017970606,FALSE,0.251845661060928,1.00391581233777,0.252831841407724,1,0.0639239400296203,2,2,0.515806792615161
"g12s6a_01__truth_L1_M2__02","truth_L1_M2",2,-129888.861774087,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.2178148932221,7.80147814932166,FALSE,0.34889270933725,0.992934701842192,0.346427678320696,0.5,0.0600060681533339,2,2,0.484193207384839
"g12s6a_01__truth_L1_M2__02","truth_L1_M2",2,-129888.861774087,TRUE,"B2","specific",2,"B2_1",1,4.14658242187116e-08,FALSE,4.14658246541055e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__truth_L1_M2__03","truth_L1_M2",3,-121854.617291575,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.2257825774287,5.63826752923964,FALSE,0.252150989414193,1.00391171713214,0.25313733275937,1,0.0640785092365281,2,2,0.343865207254004
"g12s6a_01__truth_L1_M2__03","truth_L1_M2",3,-121854.617291575,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,48.9210912097455,7.8464491998839,FALSE,0.350903875858785,0.992894160468972,0.348410409226117,0.5,0.060694906628555,2,2,0.325707743450327
"g12s6a_01__truth_L1_M2__03","truth_L1_M2",3,-121854.617291575,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.7221165820578,7.30495992517526,FALSE,0.326687739312073,1.07419231323676,0.350925458397724,0.5,0.0615743386758264,2,2,0.33042704929567
"g12s6a_01__truth_L1_M2__04","truth_L1_M2",4,-131145.818553626,TRUE,"A","shared",0,"A_1",1,1,TRUE,48.4429547592681,5.19375706599709,FALSE,0.232271877163787,1.07360466263983,0.249368170323147,1,0.0621844843703142,2,2,0.271330652577585
"g12s6a_01__truth_L1_M2__04","truth_L1_M2",4,-131145.818553626,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,78.8855090883448,5.99689966848355,FALSE,0.268189506259503,1.00203703635096,0.268735818032699,0.5,0.036109469946852,2,2,0.157557084281095
"g12s6a_01__truth_L1_M2__04","truth_L1_M2",4,-131145.818553626,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.6782739681675,10.2603841399521,FALSE,0.45885832824387,1.11503554294732,0.511643345169303,0.5,0.130889456328017,2,2,0.57111226314132
"g12s6a_01__truth_L1_M2__05","truth_L1_M2",5,-125762.346629785,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.270302150777,8.93777932876999,FALSE,0.399709642940443,1.10149556307531,0.440278398217313,1,0.193845067936803,2,2,0.382479119284356
"g12s6a_01__truth_L1_M2__05","truth_L1_M2",5,-125762.346629785,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,48.9842613327638,15.2611227909423,FALSE,0.682498159470368,1.04053692521041,0.710164536317063,0.5,0.252166834321214,2,2,0.49755482422357
"g12s6a_01__truth_L1_M2__05","truth_L1_M2",5,-125762.346629785,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.8258825562175,7.26569792628004,FALSE,0.324931889342829,1.07318690801828,0.348712649640369,0.5,0.0608002560096032,2,2,0.119966056492074
"g12s6a_01__truth_L1_M2__06","truth_L1_M2",6,-130050.161960228,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.4135591168272,5.62097986720253,FALSE,0.251377861664452,1.00391609800239,0.252362282006361,1,0.0636867213794579,2,2,0.509231458607689
"g12s6a_01__truth_L1_M2__06","truth_L1_M2",6,-130050.161960228,TRUE,"B1","specific",1,"B1_1",1,4.2141940381768e-08,FALSE,4.2141941759079e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__truth_L1_M2__06","truth_L1_M2",6,-130050.161960228,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,49.1276060082682,7.29531286377957,FALSE,0.326256309610795,1.07389363903982,0.350364575587639,0.5,0.061377667913353,2,2,0.490768541392311
"g12s6a_01__truth_L1_M2__07","truth_L1_M2",7,-129913.505289058,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.2766340321822,5.62605785509266,FALSE,0.251604956186677,1.00389281727512,0.252584408306627,1,0.0637988833196087,2,2,0.515091459635397
