"fit_config_id","fit_id","seed_index","role_id","candidate_count","pair_count","maximum_within_role_abs_cosine","pairs_ge_0_8","pairs_ge_0_9","pairs_ge_0_95"
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__06",6,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__07",7,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__08",8,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__09",9,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__10",10,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11",11,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__12",12,"B1",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__01",1,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__02",2,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__03",3,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__04",4,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__05",5,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__06",6,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__07",7,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__08",8,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__09",9,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__10",10,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11",11,"B2",1,0,0,0,0,0
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__12",12,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__01",1,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__02",2,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03",3,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__04",4,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__05",5,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__06",6,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__07",7,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__08",8,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__09",9,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__10",10,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__11",11,"A",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__12",12,"A",1,0,0,0,0,0
