"fit_config_id","reference_fit_id","reference_candidate_id","role_id","candidate_fit_id","candidate_seed_index","candidate_id","loading_abs_cosine","reference_contribution_share","candidate_contribution_share","candidate_complete_contribution_rms","candidate_factor_ppi"
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_1","A","g12s6a_01__factor_L3_M2__12",12,"A_1",0.999691184495603,0.685444397965327,0.305735364814437,0.251438513255347,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_2","A","g12s6a_01__factor_L3_M2__12",12,"A_3",0,0.0427125219641859,0,0,2.48580632744577e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","A_3","A","g12s6a_01__factor_L3_M2__12",12,"A_2",0,0.0269791147729372,0,0,2.48580632744577e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__01",1,"B1_1",0.999940906339476,0.119123746285925,0.333741379257318,0.345728803416633,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__01",1,"B1_3",0,0,0,0,3.52334595943304e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__01",1,"B1_2",0,0,0.119168771645658,0.206591175248117,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__02",2,"B1_1",0.999949143175958,0.119123746285925,0.162293016829211,0.34766267304917,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__02",2,"B1_3",0,0,0,0,3.61825308603514e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__02",2,"B1_2",0,0,0,0,3.61825308603514e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__03",3,"B1_1",0.999948032191256,0.119123746285925,0.152931031728935,0.346082135818257,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__03",3,"B1_3",0,0,0,0,3.61817255045693e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__03",3,"B1_2",0,0,0,0,3.61817255045693e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__04",4,"B1_1",0.999929103442387,0.119123746285925,0.123480594078926,0.344717953095041,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__04",4,"B1_3",0,0,0.00136016648814272,0.0361793352011756,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__04",4,"B1_2",0,0,0.00661511065472459,0.0797871778259422,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__05",5,"B1_1",0.999942798623772,0.119123746285925,0.284237600008832,0.347427091024215,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__05",5,"B1_3",0,0,0,0,3.50547274541313e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__05",5,"B1_2",0,0,0.0114411569118458,0.0697040298848216,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__06",6,"B1_1",0.999946296939706,0.119123746285925,0.148932941615935,0.342009656907467,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__06",6,"B1_3",0,0,0,0,3.51284331623347e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__06",6,"B1_2",0,0,0.0134494880024758,0.102776982092806,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__07",7,"B1_1",1,0.119123746285925,0.119123746285925,0.3474177673603,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__07",7,"B1_3",0,0,0,0,3.51397309028556e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__07",7,"B1_2",0,0,0,0,3.51397309028556e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__08",8,"B1_1",0.999948867036486,0.119123746285925,0.309950089256879,0.34700594319083,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__08",8,"B1_3",0,0,0,0,3.53670487340807e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__08",8,"B1_2",0,0,0.0190812148660099,0.0860981938790678,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__09",9,"B1_1",0.999949086007598,0.119123746285925,0.136366663897178,0.34704698453328,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__09",9,"B1_3",0,0,0,0,3.52662656855074e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__09",9,"B1_2",0,0,0,0,3.52662656855074e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__10",10,"B1_1",0.999948607037739,0.119123746285925,0.206369173589384,0.346566449481681,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__10",10,"B1_3",0,0,0,0,3.52639563105939e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__10",10,"B1_2",0,0,0.0512558947513719,0.172717369159444,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__11",11,"B1_1",0.999949688097182,0.119123746285925,0.227712340601171,0.347250043425545,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__11",11,"B1_3",0,0,0,0,3.50826789841108e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__11",11,"B1_2",0,0,0.0113103306371122,0.0773903258981115,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_1","B1","g12s6a_01__factor_L3_M2__12",12,"B1_1",0.999943884087828,0.119123746285925,0.293218620013158,0.348232845908238,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_2","B1","g12s6a_01__factor_L3_M2__12",12,"B1_3",0,0,0.0173050059400775,0.0845979493154728,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B1_3","B1","g12s6a_01__factor_L3_M2__12",12,"B1_2",0,0,0.117761532080331,0.220686457305199,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__01",1,"B2_1",0.999996005347249,0.119932258969555,0.338855615943917,0.348367697975443,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__01",1,"B2_2",0.039172283650719,0.00580796004206969,0.129971463470286,0.21575185549684,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__01",1,"B2_3",0,0,0,0,3.54054723317176e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__02",2,"B2_1",0.99999661859123,0.119932258969555,0.16424250779507,0.349744531004396,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__02",2,"B2_2",0.0584976108960395,0.00580796004206969,0.0192041414012284,0.119592954699742,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__02",2,"B2_3",0,0,0,0,3.52359320610063e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__03",3,"B2_1",0.99999664253239,0.119932258969555,0.154822091125226,0.348215290558638,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__03",3,"B2_2",0.0573871822080819,0.00580796004206969,0.0181130728889937,0.119104299852241,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__03",3,"B2_3",0,0,0,0,3.52334449393865e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__04",4,"B2_1",0.897913456706089,0.119932258969555,0.00399228003107933,0.0619833500910783,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__04",4,"B2_3",0,0.00580796004206969,0,0,3.51982291091346e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__04",4,"B2_2",0,0,0,0,3.51982291091346e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__05",5,"B2_2",0.997155933008048,0.119932258969555,0.0905568874205663,0.196102739040296,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__05",5,"B2_1",0.0142803535190255,0.00580796004206969,0.169232221881593,0.26808001831993,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__05",5,"B2_3",0,0,0,0,3.52996732955191e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__06",6,"B2_1",0.999977747106818,0.119932258969555,0.0994606388807603,0.279491501885616,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__06",6,"B2_2",0.00918548767568199,0.00580796004206969,0.0303173222165597,0.154307986685205,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__06",6,"B2_3",0,0,0,0,3.52482545373789e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__07",7,"B2_1",1,0.119932258969555,0.119932258969555,0.34859476471032,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__07",7,"B2_2",1,0.00580796004206969,0.00580796004206969,0.0767122398422846,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__07",7,"B2_3",0,0,0,0,3.50289264261505e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__08",8,"B2_1",0.999963780915459,0.119932258969555,0.182564055700386,0.266316863731387,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__08",8,"B2_2",0.848969599908649,0.00580796004206969,0.041964955720444,0.127683392959751,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__08",8,"B2_3",0,0,0,0,3.51739554149688e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__09",9,"B2_1",0.99997481252209,0.119932258969555,0.0849535156122531,0.273920695165024,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__09",9,"B2_3",0,0.00580796004206969,0,0,3.52216722454557e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__09",9,"B2_2",0,0,0,0,3.52216722454557e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__10",10,"B2_2",0.999964938880041,0.119932258969555,0.123367409928653,0.267956519468293,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__10",10,"B2_3",0.937488320006429,0.00580796004206969,0.00484693587567657,0.0531126219940129,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__10",10,"B2_1",0,0,0.313227956780766,0.426967052460696,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__11",11,"B2_2",0.996773548467828,0.119932258969555,0.0691164559196111,0.191310917898316,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__11",11,"B2_1",0.0139354065471989,0.00580796004206969,0.14293410909407,0.275116707009374,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__11",11,"B2_3",0,0,0,0,3.52448044083076e-08
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_1","B2","g12s6a_01__factor_L3_M2__12",12,"B2_2",0.997312697877599,0.119932258969555,0.0924916410248527,0.195580342277021,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_2","B2","g12s6a_01__factor_L3_M2__12",12,"B2_1",0.0141332627988286,0.00580796004206969,0.173487836127143,0.267860376207754,1
"factor_L3_M2","g12s6a_01__factor_L3_M2__07","B2_3","B2","g12s6a_01__factor_L3_M2__12",12,"B2_3",0,0,0,0,3.55366652771139e-08
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__01",1,"A_1",0.999999285322062,0.684457102874047,0.661171214615021,0.489466292249862,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__02",2,"A_1",4.01487769825562e-05,0.684457102874047,0.466076886088569,0.246568504034588,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__03",3,"A_1",0.999999898777343,0.684457102874047,0.653990065882955,0.496543422611329,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__04",4,"A_1",1.59924737233762e-05,0.684457102874047,0.162069973564848,0.243806106954842,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__05",5,"A_1",0.99999928424843,0.684457102874047,0.679782136460571,0.528775382945584,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__06",6,"A_1",0.99999643915062,0.684457102874047,0.495025443346489,0.353951168816048,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__07",7,"A_1",0.99999671188022,0.684457102874047,0.692728092323609,0.563027314782209,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__08",8,"A_1",0.999999982839745,0.684457102874047,0.648595494872775,0.493835861546297,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__09",9,"A_1",0.999999656836722,0.684457102874047,0.500246760484566,0.396733372701721,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__10",10,"A_1",3.00687165745869e-05,0.684457102874047,0.176159911831146,0.23719182556617,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__11",11,"A_1",1,0.684457102874047,0.684457102874047,0.520236319968521,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","A_1","A","g12s6a_01__fpca_L1_M4__12",12,"A_1",3.03361882960059e-05,0.684457102874047,0.316621196139783,0.253519167371487,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__01",1,"B1_1",0.999999741124954,0.171875869443687,0.180275194018835,0.361450478340546,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__02",2,"B1_1",4.98750009725729e-05,0.171875869443687,0.270756609346368,0.265774523776621,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__03",3,"B1_1",0.999999962172904,0.171875869443687,0.184138728626237,0.372614049200975,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__04",4,"B1_1",0.232531683275861,0.171875869443687,0.197385561105898,0.380509923359674,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__05",5,"B1_1",0.999999925033507,0.171875869443687,0.179313133674926,0.384067362064141,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__06",6,"B1_1",0.999999861242867,0.171875869443687,0.272040150492633,0.371074483081953,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__07",7,"B1_1",0.999999643594176,0.171875869443687,0.14255540802133,0.361205963046295,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__08",8,"B1_1",0.999999908546437,0.171875869443687,0.188117708587115,0.376119195485622,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__09",9,"B1_1",0.999999176428658,0.171875869443687,0.307733442130502,0.440057003329961,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__10",10,"B1_1",0.240035855366195,0.171875869443687,0.200794396567447,0.358126920217544,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__11",11,"B1_1",1,0.171875869443687,0.171875869443687,0.368680360468468,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B1_1","B1","g12s6a_01__fpca_L1_M4__12",12,"B1_1",4.36396000506443e-05,0.171875869443687,0.39334913796429,0.399617875305681,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__01",1,"B2_1",0.999999475067974,0.143667027682265,0.158553591366144,0.338975929129085,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__02",2,"B2_1",0.000637960070982271,0.143667027682265,0.263166504565063,0.262022822948462,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__03",3,"B2_1",0.999999430177111,0.143667027682265,0.161871205490808,0.349358614093709,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__04",4,"B2_1",2.13913386770747e-05,0.143667027682265,0.640544465329254,0.685461297179916,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__05",5,"B2_1",0.999999609060156,0.143667027682265,0.140904729864503,0.340458466121439,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__06",6,"B2_1",0.99999944755387,0.143667027682265,0.232934406160878,0.343369257089688,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__07",7,"B2_1",0.999999402899226,0.143667027682265,0.16471649965506,0.388268014557319,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__08",8,"B2_1",0.999999543904544,0.143667027682265,0.163286796540111,0.350417827580558,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__09",9,"B2_1",0.999999682349884,0.143667027682265,0.192019797384932,0.347611866183342,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__10",10,"B2_1",3.48004484521946e-05,0.143667027682265,0.623045691601408,0.630842758310817,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__11",11,"B2_1",1,0.143667027682265,0.143667027682265,0.337070777483995,1
"fpca_L1_M4","g12s6a_01__fpca_L1_M4__11","B2_1","B2","g12s6a_01__fpca_L1_M4__12",12,"B2_1",0.000895567487009636,0.143667027682265,0.290029665895926,0.343144479365693,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A_1","A","g12s6a_01__truth_L1_M2__01",1,"A_1",0.999980908201344,0.343865207254004,0.612398970897807,0.436427270641073,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A_1","A","g12s6a_01__truth_L1_M2__02",2,"A_1",0.999999988543856,0.343865207254004,0.515806792615161,0.252831841407724,1
