"fit_config_id","role_id","starts","median_mean_squared_canonical_correlation","minimum_mean_squared_canonical_correlation","median_minimum_canonical_correlation","minimum_canonical_correlation"
"factor_L3_M2","A",12,0.343638835391279,0.333313501341631,0,0
"fpca_L1_M4","A",12,0.999995996134311,2.55759215792878e-10,0.999997998064324,1.59924737233762e-05
"truth_L1_M2","A",12,0.999980735355499,2.52733472786305e-12,0.999990367586618,1.58975933017015e-06
"factor_L3_M2","B1",12,0.49994873971418,0.333292585178706,0,0
"fpca_L1_M4","B1",12,0.999999384719227,1.9044146925802e-09,0.999999692359565,4.36396000506443e-05
"truth_L1_M2","B1",12,0.999999354913793,0,0.999999677456843,0
"factor_L3_M2","B2",12,0.503098130654773,0.403636767994839,0.064070356732763,0
"fpca_L1_M4","B2",12,0.999998877731297,4.57589370397315e-10,0.999999438865491,2.13913386770748e-05
"truth_L1_M2","B2",12,9.73434615440847e-06,0,0.00243426354142124,0
