"group","endpoints","study_role_matched","study_role_truth_total","study_role_coverage","mean_factor_process_nrmse_missing_as_zero","median_factor_process_nrmse_missing_as_zero","mean_complete_contribution_nrmse_missing_as_zero","median_complete_contribution_nrmse_missing_as_zero"
"all",24,67,96,0.697916666666667,0.593668620332937,0.644046264722791,0.502192697753955,0.493174839859398
"winner",3,11,12,0.916666666666667,0.494385485956585,0.540490569020561,0.350956618175723,0.310523061362015
"exact",5,20,20,1,0.340400457425508,0.254755452480551,0.252072856104742,0.238823351212632
"slow",10,31,40,0.775,0.557897213278263,0.654987117977186,0.446638937239489,0.456571496685077
