"endpoint_group","block_role","metric","values","mean","median","q25","q75","min","max"
"exact","A","factor_ppi",27,1,1,1,1,1,1
"exact","A","factor_scale",27,0.647595730947658,0.477197615788029,0.435745382495535,0.653556855706817,0.367403961069226,2.74009584151268
"exact","A","raw_loading_norm_ratio",27,2.10617188342541,2.03132315449018,1.76606181268216,2.43003419619319,1.57644792298458,2.90652429944039
"exact","A","canonical_loading_norm_ratio",27,1.36208289639647,1.08523884481378,0.957873530748,1.09770692654074,0.878131806752229,6.61542257398059
"exact","A","raw_loading_abs_cosine",27,0.999851723978673,0.999874204832748,0.999798096578319,0.999897599327854,0.999717368646913,0.999910327349976
"exact","A","canonical_loading_abs_cosine",27,0.999851723978673,0.999874204832748,0.999798096578319,0.999897599327854,0.999717368646913,0.999910327349976
"exact","B1","factor_ppi",27,1,1,1,1,1,1
"exact","B1","factor_scale",27,0.663503556678198,0.604043441600097,0.548409011167326,0.665809070110565,0.464392356386155,1.75037439998434
"exact","B1","raw_loading_norm_ratio",27,1.71015673538965,1.77543098895304,1.5619008003919,1.84470293305327,1.34671155998875,2.19821666323358
"exact","B1","canonical_loading_norm_ratio",27,1.11756674598304,1.13627724611709,0.878574262048564,1.17097666601647,0.808886374395879,2.74013280664468
"exact","B1","raw_loading_abs_cosine",27,0.999546539724884,0.999509812665168,0.999490592846709,0.999640893381042,0.999309358996157,0.999865767735797
"exact","B1","canonical_loading_abs_cosine",27,0.999546539724884,0.999509812665168,0.999490592846709,0.999640893381042,0.999309358996157,0.999865767735797
"exact","B2","factor_ppi",27,1,1,1,1,1,1
"exact","B2","factor_scale",27,0.611253610430743,0.602492044843411,0.5515807597853,0.6589075456283,0.509540877731303,0.732422295640143
"exact","B2","raw_loading_norm_ratio",27,1.82279524474752,1.95638037551391,1.47183089882067,2.08462696115734,1.33759099901913,2.41845473815541
"exact","B2","canonical_loading_norm_ratio",27,1.09753187830545,1.09904548529188,0.986578321917731,1.13710577626827,0.923126031629561,1.4922094790256
"exact","B2","raw_loading_abs_cosine",27,0.999678027633454,0.999707316748533,0.999558435101596,0.99981399164889,0.999483621381454,0.999833659779948
"exact","B2","canonical_loading_abs_cosine",27,0.999678027633454,0.999707316748533,0.999558435101597,0.99981399164889,0.999483621381454,0.999833659779948
"frozen_winner","A","factor_ppi",6,1,1,1,1,1,1
"frozen_winner","A","factor_scale",6,0.480311973921334,0.453901813913854,0.436407054293112,0.499551750373367,0.406986158177706,0.621738193909852
"frozen_winner","A","raw_loading_norm_ratio",6,2.1044976258763,2.03291924313242,1.91118782843382,2.33236210226256,1.76409174580343,2.4942684443493
"frozen_winner","A","canonical_loading_norm_ratio",6,0.996615557413863,1.01138530090281,0.913262075129205,1.07821266623752,0.879076738863361,1.0968032159271
"frozen_winner","A","raw_loading_abs_cosine",6,0.999842600203445,0.999873718128272,0.999813954744361,0.999883464648489,0.999717731560734,0.999909686298438
"frozen_winner","A","canonical_loading_abs_cosine",6,0.999842600203445,0.999873718128272,0.999813954744361,0.999883464648489,0.999717731560734,0.999909686298438
"frozen_winner","B1","factor_ppi",6,1,1,1,1,1,1
"frozen_winner","B1","factor_scale",6,0.585720508649394,0.582707603685333,0.53364735859606,0.637310685616534,0.464392356386155,0.711709831646304
"frozen_winner","B1","raw_loading_norm_ratio",6,1.7371620962559,1.80112780199112,1.61713364038445,1.83516398280344,1.52629863201163,1.89210671195175
"frozen_winner","B1","canonical_loading_norm_ratio",6,1.01979147257201,1.01126426388459,0.856832527813444,1.16598485629413,0.809714947861776,1.2635916902474
"frozen_winner","B1","raw_loading_abs_cosine",6,0.999554869707691,0.999511375007522,0.999494938016137,0.999608790198314,0.999310605595217,0.999865141688299
"frozen_winner","B1","canonical_loading_abs_cosine",6,0.999554869707691,0.999511375007522,0.999494938016137,0.999608790198314,0.999310605595217,0.999865141688299
"frozen_winner","B2","factor_ppi",6,1,1,1,1,1,1
"frozen_winner","B2","factor_scale",6,0.573993571222901,0.551623455357916,0.534796788545588,0.589905824985983,0.509540877731303,0.699319124420118
"frozen_winner","B2","raw_loading_norm_ratio",6,1.95181962583331,2.03589440085379,1.6478435607044,2.19085494506077,1.48918434313188,2.38894286970939
"frozen_winner","B2","canonical_loading_norm_ratio",6,1.10261923549367,1.11245646390859,1.05568683453392,1.12846110075223,0.926033726124449,1.29420915457792
"frozen_winner","B2","raw_loading_abs_cosine",6,0.999702621251029,0.999729661879528,0.999649736623883,0.999798786906927,0.999483660109962,0.99982782018243
"frozen_winner","B2","canonical_loading_abs_cosine",6,0.999702621251029,0.999729661879528,0.999649736623884,0.999798786906927,0.999483660109962,0.99982782018243
