"endpoint_group","true_component","rows","matched_rows","matched_rate","process_nrmse_mean","process_nrmse_median","process_nrmse_min","process_nrmse_max","contribution_nrmse_mean","contribution_nrmse_median","contribution_nrmse_min","contribution_nrmse_max"
"exact","all",108,108,1,0.286136344459661,0.25564450271666,0.119408128657088,0.895848331953024,0.22621083943712,0.203773656156584,0.0809659897167829,0.591988840937926
"exact","A_study1",27,27,1,0.307444203133116,0.261189145596335,0.174139722734786,0.87299357909827,0.243346438515335,0.23554598499653,0.175028380654936,0.391285190053039
"exact","A_study2",27,27,1,0.305257548810922,0.267717450095945,0.136488346290017,0.895848331953024,0.251856233500488,0.265471179551754,0.137372747675819,0.591988840937926
"exact","B1",27,27,1,0.254349145236055,0.245896743508169,0.143853572383663,0.680662745286683,0.178970190732678,0.165461245351366,0.0896613259275164,0.320609830042828
"exact","B2",27,27,1,0.27749448065855,0.262229776993469,0.119408128657088,0.35587509233162,0.230670494999977,0.225898455583486,0.0809659897167829,0.345728276504684
"frozen_winner","all",24,24,1,0.247144886554191,0.246027842349911,0.120337326654194,0.350210450960308,0.208638379831067,0.192551282091083,0.0809659897167829,0.342386152664614
"frozen_winner","A_study1",6,6,1,0.247713306500046,0.241833069020075,0.177340688603682,0.345028143291338,0.230207934033472,0.210713547737608,0.178190090228799,0.336609133406828
"frozen_winner","A_study2",6,6,1,0.241661056299611,0.236755485470139,0.136488346290017,0.32942529478264,0.226541389390458,0.223615197534935,0.137372747675819,0.316740797923363
"frozen_winner","B1",6,6,1,0.245263034255194,0.246027842349911,0.175914699171136,0.307950492634283,0.171123564098748,0.152899898215543,0.102748714944844,0.283068701901408
"frozen_winner","B2",6,6,1,0.253942149161912,0.247406759661695,0.120337326654194,0.350210450960308,0.206680631801591,0.209557796802904,0.0809659897167829,0.342386152664614
