"scope","method_id","endpoints","data_sets","exact_correct_n","exact_correct_rate","strict_n","strict_rate","correct_and_strict_n","incorrect_and_strict_n","endpoint_objective_pass_n","endpoint_fitted_pass_n","endpoint_rss_pass_n","endpoint_ppi_max_pass_n","endpoint_quantile_factor_pass_n","quantile_factor_alternative_ever_5_n","output_only_quantile_factor_ever_5_n","remove_ppi_max_alone_reaches_5_n","minimum_removed_gate_groups_median","endpoints_at_200"
"combined_two_experiments","current_1_over_m",120,12,10,0.0833333333333333,8,0.0666666666666667,0,8,120,72,82,8,120,72,72,72,1,112
"combined_two_experiments","gram_unit_energy",120,12,50,0.416666666666667,0,0,0,0,117,40,41,0,117,32,32,32,3,120
