"scope","method_id","endpoints","data_sets","exact_correct_n","exact_correct_rate","strict_n","strict_rate","correct_and_strict_n","incorrect_and_strict_n","endpoint_objective_pass_n","endpoint_fitted_pass_n","endpoint_rss_pass_n","endpoint_ppi_max_pass_n","endpoint_quantile_factor_pass_n","quantile_factor_alternative_ever_5_n","output_only_quantile_factor_ever_5_n","remove_ppi_max_alone_reaches_5_n","minimum_removed_gate_groups_median","endpoints_at_200"
"independent_baseline_strong","current_1_over_m",72,6,8,0.111111111111111,2,0.0277777777777778,0,2,72,43,49,2,72,42,42,42,1,70
"independent_baseline_strong","gram_unit_energy",72,6,27,0.375,0,0,0,0,72,30,29,0,70,24,24,24,3,72
"baseline_strong","current_1_over_m",16,2,1,0.0625,0,0,0,0,16,6,9,0,16,7,7,7,2,16
"baseline_strong","gram_unit_energy",16,2,7,0.4375,0,0,0,0,15,4,6,0,15,3,3,3,3,16
"weak_loading_separation","current_1_over_m",16,2,1,0.0625,2,0.125,0,2,16,10,10,2,16,10,10,10,1,14
"weak_loading_separation","gram_unit_energy",16,2,11,0.6875,0,0,0,0,15,2,2,0,16,2,2,2,3,16
"sparse_observation","current_1_over_m",16,2,0,0,4,0.25,0,4,16,13,14,4,16,13,13,13,1,12
"sparse_observation","gram_unit_energy",16,2,5,0.3125,0,0,0,0,15,4,4,0,16,3,3,3,3,16
