"check_id","passed","detail"
"endpoint_rows_240",TRUE,"240/240"
"science_rows_240",TRUE,"240/240"
"unique_fit_ids",TRUE,"240/240"
"methods_120_each",TRUE,"current=120;G12=120"
"twelve_data_sets",TRUE,"12"
"all_objective_eligible",TRUE,"240/240"
"truth_free_fit_and_selection",TRUE,"0/240"
"no_continuation",TRUE,"0/240"
"not_formal_v0lv",TRUE,"0/240"
"endpoint_science_exact_join",TRUE,"240/240"
"source_experiments_144_96",TRUE,"144;96"
