"fit_id","data_id","method_id","seed_index","t1_sweeps","exact_correct_1_1_1","strict_practical_converged","original_longest_streak","quantile_factor_alternative_ever_5","output_only_quantile_factor_ever_5","endpoint_objective_pass","endpoint_fitted_gate_pass","endpoint_rss_gate_pass","endpoint_ppi_max_gate_pass","endpoint_ppi_quantile_factor_gate_pass","minimum_gate_groups_removed_for_5_streak","minimal_removed_gate_sets","remove_objective_alone_reaches_5","remove_fitted_alone_reaches_5","remove_rss_alone_reaches_5","remove_ppi_max_alone_reaches_5","endpoint_ppi_max_abs","endpoint_ppi_quantile_abs","endpoint_factor_ppi_max_abs","endpoint_long_ppi_max_abs","endpoint_long_ppi_quantile_abs","endpoint_long_factor_ppi_max_abs"
"g12ic_01__G12IC__current_1_over_m__01","g12ic_01","current_1_over_m",1,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0042060888205602,0.000355940574124485,2.91566770727059e-12,0.0142242607011526,0.00118682534744144,3.98776567323011e-11
"g12ic_01__G12IC__current_1_over_m__02","g12ic_01","current_1_over_m",2,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00978637606414368,0.000240886696280584,3.16369153097185e-12,0.0317797368757264,0.000811007120751201,4.41414682583741e-11
"g12ic_01__G12IC__current_1_over_m__03","g12ic_01","current_1_over_m",3,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00719036845010701,0.000254228218267684,3.01836333704841e-12,0.0233342664487332,0.000843807795221091,4.16418011184305e-11
"g12ic_01__G12IC__current_1_over_m__04","g12ic_01","current_1_over_m",4,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00870521284623144,0.000566440219808995,0,0.0283322430116383,0.00190946049578944,0
"g12ic_01__G12IC__current_1_over_m__05","g12ic_01","current_1_over_m",5,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00748282920618243,0.000220919641895037,2.85538259703344e-12,0.0245513915831055,0.00072458832557887,3.83052478625245e-11
"g12ic_01__G12IC__current_1_over_m__06","g12ic_01","current_1_over_m",6,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00874834225551102,0.000157639379954625,5.14621678604499e-12,0.0305342729093983,0.000517924716076546,4.5789816383035e-11
"g12ic_01__G12IC__current_1_over_m__07","g12ic_01","current_1_over_m",7,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00871346552900704,0.000144128971335948,6.20048457022904e-12,0.0312613190517106,0.000475970996882432,5.97148996916985e-11
"g12ic_01__G12IC__current_1_over_m__08","g12ic_01","current_1_over_m",8,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0134182311377636,0.000277155972117199,2.89035462230913e-12,0.0406836431363702,0.000946494351156038,3.84539067255218e-11
"g12ic_01__G12IC__current_1_over_m__09","g12ic_01","current_1_over_m",9,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00405491143085734,0.000165675608907262,3.34621219622022e-12,0.0131812240963186,0.000567661536879983,4.82324180595128e-11
"g12ic_01__G12IC__current_1_over_m__10","g12ic_01","current_1_over_m",10,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00707844432047017,0.000264167896314877,3.1588065496635e-12,0.0228267558725541,0.000867910673348301,4.41264802475416e-11
