"fit_id","data_id","method_id","calibration_mode","seed_index","fit_seed","paired_seed_id","terminal_status","actual_T1_sweeps","strict_practical_converged","objective_eligible","final_elbo","warning_count","elapsed_seconds","peak_memory_bytes","truth_used_for_fit_or_selection","formal_v0lv_result","truth_global_direction_count","truth_study_role_count","candidate_shared","candidate_specific_study_1","candidate_specific_study_2","selected_shared","selected_specific_study_1","selected_specific_study_2","selected_counts","selected_loading_rank_shared","selected_loading_rank_specific_study_1","selected_loading_rank_specific_study_2","R_A","R_B1","R_B2","L_B1_to_A","L_B2_to_A","L_A_to_B1","L_A_to_B2","global_correct","global_misplaced","global_missing","global_extra","global_duplicate","study_correct","study_misplaced","study_missing","study_candidate_extra","study_candidate_duplicate","strict_joint_recovery","strict_joint_correct_type","strict_joint_misplaced","matched_function_recall_mean","matched_trajectory_abs_cor_mean","matched_score_abs_cor_mean","correctly_placed_function_recall_mean","correctly_placed_trajectory_abs_cor_mean","correctly_placed_score_abs_cor_mean","shared_effective_M","specific_effective_M_study_1","specific_effective_M_study_2","signal_nrmse_all_candidates","signal_nrmse_ppi_selected","signal_nrmse_mean_only","iterations","t1_sweeps","continuation_used","P_A","P_B1","P_B2","min_correct_block_R","max_cross_block_L","dense_signal_nrmse_ppi_selected","dense_signal_relative_mise_ppi_selected","dense_signal_nrmse_all_candidates","feature_components_total","feature_components_matched","feature_total_ise_mean","feature_projection_floor_ise_mean","feature_estimate_to_projection_ise_mean","factor_kernels_total","factor_kernels_matched","kernel_relative_ise_mean","covariance_operator_relative_error_mean","loading_relative_l2_error_mean","loading_support_ppi_auc_mean","exact_correct_1_1_1"
"g12ic_03__G12IC__gram_unit_energy__06","g12ic_03","gram_unit_energy","function",6,82922306,"g12ic_03__seed_6","max_budget_reached",200,FALSE,TRUE,-118834.74597647,1,2342.41774821281,233474768,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.999746667541669,0.999731553489895,0.999508581372725,3.33230581267614e-12,5.60737966479087e-12,1.21060376125511e-08,8.36737246928214e-09,3,0,0,0,0,4,0,0,0,0,4,4,0,0.943523058021531,0.988856218151834,0.979866215335883,0.943523058021531,0.988856218151834,0.979866215335883,"2","2","2",0.136225023650698,0.136225023650698,0.70082072001699,299,200,FALSE,0.999746667541669,0.999731553489895,0.999508581372725,0.999508581372725,1.21060376125511e-08,0.190130895130791,0.0361497572832359,0.190130895130791,8,8,0.0643297796862682,0.0450414421480276,0.0213397412808901,4,4,0.0538676630129762,0.416418484551946,0.138313403743419,0.996074074074074,TRUE
"g12ic_03__G12IC__gram_unit_energy__07","g12ic_03","gram_unit_energy","function",7,82922307,"g12ic_03__seed_7","max_budget_reached",200,FALSE,TRUE,-137756.569831097,1,2060.89208292961,233469536,FALSE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.999746708821065,0,0,2.85827705308815e-09,4.5046097036055e-08,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.954517329998802,0.988193465995162,0.970724425201048,0.954517329998802,0.988193465995162,0.970724425201048,"2","2","2",0.547425118576764,0.547425118576764,0.686269907719084,299,200,FALSE,0.999746708821065,0,0,0,4.5046097036055e-08,0.568356306436366,0.323028891065989,0.568356306436366,8,4,0.0573304703929955,0.0450414421480276,0.0212332393691901,4,2,0.066334509436656,0.731039493350792,0.0188124957072704,0.988133333333333,FALSE
"g12ic_03__G12IC__gram_unit_energy__08","g12ic_03","gram_unit_energy","function",8,82922308,"g12ic_03__seed_8","max_budget_reached",200,FALSE,TRUE,-128322.375356617,1,2212.15722632408,233307504,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999762684529383,0.999728007247897,0,4.66645845769434e-10,1.7605711066399e-10,3.37657607999793e-08,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.952544119937616,0.988421677093876,0.97417512559447,0.952544119937616,0.988421677093876,0.97417512559447,"2","2","2",0.384714240626068,0.384714240626068,0.68902888370419,299,200,FALSE,0.999762684529383,0.999728007247897,0,0,3.37657607999793e-08,0.413251793675852,0.170777044976309,0.413251793675852,8,6,0.0572258872455981,0.0450414421480276,0.0294389124546437,4,3,0.0612139623204016,0.612792738793476,0.13594620125747,0.993844444444444,FALSE
"g12ic_03__G12IC__gram_unit_energy__09","g12ic_03","gram_unit_energy","function",9,82922309,"g12ic_03__seed_9","max_budget_reached",200,FALSE,TRUE,-127159.384876365,1,2335.50171637535,233248752,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,7.66714311542016e-09,3.28879781313736e-09,0.999502299011386,0.999731858202205,0.000559698114513422,0.999351818650986,9.56889958834094e-07,1,2,0,0,0,1,2,1,1,0,3,1,2,0.87755035256155,0.988203498862842,0.917343807225464,0.69910301530501,0.984489015751644,0.797283743117463,"2","2","2",0.316000447512073,0.316000447512073,0.705678047249872,299,200,FALSE,7.66714311542016e-09,3.28879781313736e-09,0.999502299011386,3.28879781313736e-09,0.999731858202205,0.397288195536717,0.157837910312821,0.397288195536717,8,6,0.152660353882159,0.0450414421480276,0.119627395333722,4,3,0.0976437774294949,0.672615467618808,0.123279245974439,0.994666666666667,FALSE
"g12ic_03__G12IC__gram_unit_energy__10","g12ic_03","gram_unit_energy","function",10,82922310,"g12ic_03__seed_10","max_budget_reached",200,FALSE,TRUE,-128008.679982779,1,2204.65755057335,233328384,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999746862265318,0.999730042138583,0,7.36350129493371e-10,9.02780683223559e-11,1.43482095371539e-08,0,2,0,1,0,0,3,0,1,0,0,3,3,0,0.9651747214247,0.990564900699662,0.978504977264391,0.9651747214247,0.990564900699662,0.978504977264391,"2","2","2",0.383887884070367,0.383887884070367,0.690460401555843,299,200,FALSE,0.999746862265318,0.999730042138583,0,0,1.43482095371539e-08,0.411256670975065,0.169132049421493,0.411256670975065,8,6,0.0424015447394656,0.0450414421480276,0.0146941211203663,4,3,0.0553786162799193,0.613972614809158,0.140464476978346,0.994422222222222,FALSE
"g12ic_03__G12IC__gram_unit_energy__11","g12ic_03","gram_unit_energy","function",11,82922311,"g12ic_03__seed_11","max_budget_reached",200,FALSE,TRUE,-129111.877472188,1,2342.26194095612,233490608,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.999652392551192,2.97082532519513e-08,0.999524839648552,1.2620731117903e-11,2.73466564510041e-10,0.997865328579226,3.57264275133445e-09,2,0,1,0,1,3,0,1,0,1,2,2,0,0.871688113556885,0.924413197576842,0.878155831065385,0.871688113556885,0.924413197576842,0.878155831065385,"2","2","2",0.413375528106208,0.413375528106208,0.701408530990912,299,200,FALSE,0.999652392551192,2.97082532519513e-08,0.999524839648552,2.97082532519513e-08,0.997865328579226,0.507955478379606,0.258018768015854,0.507955478379606,8,6,0.153571492624642,0.0450414421480276,0.111484643955037,4,3,0.0743252370652492,0.671389732978973,0.179712437477859,0.993,FALSE
"g12ic_03__G12IC__gram_unit_energy__12","g12ic_03","gram_unit_energy","function",12,82922312,"g12ic_03__seed_12","max_budget_reached",200,FALSE,TRUE,-136502.731710241,1,2338.64816451073,233436592,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,9.5545186102485e-07,5.19978499856374e-08,0.864874900561624,0.000834697333544319,0.999445676068605,0.999346224899536,0.000145305796326574,0,2,1,0,1,0,2,2,1,1,2,0,2,0.904660641868394,0.984060300378465,0.975003190375519,0,0,0,"2","2","2",0.500223519663898,0.500223519663898,0.696229742028106,299,200,FALSE,9.5545186102485e-07,5.19978499856374e-08,0.864874900561624,5.19978499856374e-08,0.999445676068605,0.556656390687946,0.309866337293731,0.556656390687946,8,4,0.110143165438589,0.0450414421480276,0.0515333476915628,4,2,0.081470281430123,0.836478894782158,0.122270680982342,0.991822222222222,FALSE
"g12ic_04__G12IC__current_1_over_m__01","g12ic_04","current_1_over_m","none",1,82922401,"g12ic_04__seed_1","max_budget_reached",200,FALSE,TRUE,-137044.724605834,1,2205.02676653862,235086320,FALSE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.999309930265498,1.43822509372917e-06,0,9.4318820215208e-07,1.91912430884625e-06,0.998336972275767,0,1,0,2,0,1,2,0,2,0,1,1,1,0,0.933842145529915,0.747884226515386,0.729505808418808,0.933842145529915,0.747884226515386,0.729505808418808,"2","2","2",0.497390196348469,0.497390196348469,0.629050871674437,299,200,FALSE,0.999309930265498,1.43822509372917e-06,0,0,0.998336972275767,0.518111655940897,0.268439688021818,0.518111655940897,8,4,0.157422752639512,0.0324863555156086,0.120664432169767,4,2,0.264358594262731,0.807421096929128,0.216560428461819,0.9984,FALSE
"g12ic_04__G12IC__current_1_over_m__02","g12ic_04","current_1_over_m","none",2,82922402,"g12ic_04__seed_2","max_budget_reached",200,FALSE,TRUE,-128651.816780186,1,2341.04188466072,235315520,FALSE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.9994067583982,1.41501581760296e-05,0.999626342680383,1.26261772377313e-08,1.63833673450745e-08,0.959620114870666,2.32265780798938e-10,2,0,1,0,1,3,0,1,0,1,3,3,0,0.957724181783281,0.971465945136012,0.95101044673259,0.957724181783281,0.971465945136012,0.95101044673259,"2","2","2",0.321330159387692,0.321330159387692,0.629736569185133,299,200,FALSE,0.9994067583982,1.41501581760296e-05,0.999626342680383,1.41501581760296e-05,0.959620114870666,0.388944434974056,0.151277773497287,0.388944434974056,8,6,0.0850739273639785,0.0324863555156086,0.0535216897977964,4,3,0.153870511695933,0.611963828206373,0.122427098127507,0.987555555555556,FALSE
"g12ic_04__G12IC__current_1_over_m__03","g12ic_04","current_1_over_m","none",3,82922403,"g12ic_04__seed_3","max_budget_reached",200,FALSE,TRUE,-137036.828423715,1,2067.51085066795,235298064,FALSE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.999436125093312,0,0,8.43924045818047e-09,7.5161888444074e-09,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.949933166313491,0.966814901336982,0.938580084834334,0.949933166313491,0.966814901336982,0.938580084834334,"2","2","2",0.49953187760965,0.49953187760965,0.629402747297498,299,200,FALSE,0.999436125093312,0,0,0,8.43924045818047e-09,0.505432628875932,0.255462142332436,0.505432628875932,8,4,0.0941835873293102,0.0324863555156086,0.0548516770345428,4,2,0.189276524988518,0.779434907463995,0.123607687255163,0.999777777777778,FALSE
