"fit_id","data_id","scenario_id","method_id","function_initialization","calibration_mode","seed_index","fit_seed","paired_seed_id","terminal_status","actual_T1_sweeps","strict_practical_converged","objective_eligible","final_elbo","warning_count","elapsed_seconds","peak_memory_bytes","truth_used_for_fit_or_selection","cross_scenario_development","formal_v0lv_result","truth_global_direction_count","truth_study_role_count","candidate_shared","candidate_specific_study_1","candidate_specific_study_2","selected_shared","selected_specific_study_1","selected_specific_study_2","selected_counts","selected_loading_rank_shared","selected_loading_rank_specific_study_1","selected_loading_rank_specific_study_2","R_A","R_B1","R_B2","L_B1_to_A","L_B2_to_A","L_A_to_B1","L_A_to_B2","global_correct","global_misplaced","global_missing","global_extra","global_duplicate","study_correct","study_misplaced","study_missing","study_candidate_extra","study_candidate_duplicate","strict_joint_recovery","strict_joint_correct_type","strict_joint_misplaced","matched_function_recall_mean","matched_trajectory_abs_cor_mean","matched_score_abs_cor_mean","correctly_placed_function_recall_mean","correctly_placed_trajectory_abs_cor_mean","correctly_placed_score_abs_cor_mean","shared_effective_M","specific_effective_M_study_1","specific_effective_M_study_2","signal_nrmse_all_candidates","signal_nrmse_ppi_selected","signal_nrmse_mean_only","iterations","t1_sweeps","continuation_used","P_A","P_B1","P_B2","min_correct_block_R","max_cross_block_L","dense_signal_nrmse_ppi_selected","dense_signal_relative_mise_ppi_selected","dense_signal_nrmse_all_candidates","feature_components_total","feature_components_matched","feature_total_ise_mean","feature_projection_floor_ise_mean","feature_estimate_to_projection_ise_mean","factor_kernels_total","factor_kernels_matched","kernel_relative_ise_mean","covariance_operator_relative_error_mean","loading_relative_l2_error_mean","loading_support_ppi_auc_mean","exact_correct_1_1_1"
"g12cs_weak_01__G12CS__current_1_over_m__02","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",2,83023302,"g12cs_weak_01__seed_2","strict_practical_converged",84,TRUE,TRUE,-145690.471425822,0,1171.25805163383,239937872,FALSE,TRUE,FALSE,3,4,1,1,1,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"2","2","2",0.667179216998296,0.667179216998296,0.667179216998296,183,84,FALSE,0,0,0,0,0,0.700081683678743,0.490114363822463,0.700081683678743,8,0,,0.0519420246125234,,4,0,,1,,,FALSE
"g12cs_weak_01__G12CS__current_1_over_m__03","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",3,83023303,"g12cs_weak_01__seed_3","max_budget_reached",200,FALSE,TRUE,-129824.152245966,1,2199.95549798012,240311280,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.998421407069969,0,0.999316612187318,0.383739050719993,0.384291856956769,0,0.371341956090169,2,0,1,0,0,3,0,1,0,0,3,3,0,0.947548940955909,0.965132346415657,0.977002034859819,0.947548940955909,0.965132346415657,0.977002034859819,"2","2","2",0.331360733663949,0.331360733663949,0.673182673879711,299,200,FALSE,0.998421407069969,0,0.999316612187318,0,0.384291856956769,0.396639803450249,0.157323133681052,0.396639803450249,8,6,0.0620672324552884,0.0519420246125234,0.0211759901286958,4,3,0.0768891867282359,0.499851014908667,0.0699877236216084,0.982088888888889,FALSE
"g12cs_weak_01__G12CS__current_1_over_m__04","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",4,83023304,"g12cs_weak_01__seed_4","max_budget_reached",200,FALSE,TRUE,-136246.331338268,1,2077.7511203289,222648272,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,0,"1,0,0",1,0,0,0.991129099838243,0,0,0.426443814246578,0.4106851648905,0,0,1,0,2,0,0,2,0,2,0,0,2,2,0,0.967610272361329,0.965530472698841,0.960740023121461,0.967610272361329,0.965530472698841,0.960740023121461,"2","2","2",0.439593829972579,0.439593829972579,0.672115392633225,299,200,FALSE,0.991129099838243,0,0,0,0.426443814246578,0.498349886947721,0.248352609820806,0.498349886947721,8,4,0.0412868149868554,0.0519420246125234,0.0237693940618524,4,2,0.0782315235699504,0.704485279466105,0.171121210019214,0.995822222222222,FALSE
"g12cs_weak_01__G12CS__current_1_over_m__05","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",5,83023305,"g12cs_weak_01__seed_5","max_budget_reached",200,FALSE,TRUE,-141114.72163561,1,2001.01339101791,218839400,FALSE,TRUE,FALSE,3,4,1,1,1,0,0,1,"0,0,1",0,0,1,0,0,0.819439379513819,0,0,0,0.777952494736405,1,0,2,0,0,1,0,3,0,0,0,0,0,0.581077908900367,0.682868931662621,0.436972199853099,0.581077908900367,0.682868931662621,0.436972199853099,"2","2","2",0.560815942037174,0.560815942037174,0.670518814708634,299,200,FALSE,0,0,0.819439379513819,0,0.777952494736405,0.632658709293472,0.400257042444881,0.632658709293472,8,2,0.91982006074538,0.0519420246125234,0.884302013592964,4,1,0.670716457852353,0.826263289779716,0.518076230881973,0.994133333333333,FALSE
"g12cs_weak_01__G12CS__current_1_over_m__06","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",6,83023306,"g12cs_weak_01__seed_6","max_budget_reached",200,FALSE,TRUE,-129884.787107846,1,2191.58144021034,240158488,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.998410929132478,0,0.999314904894145,0.383879639236625,0.384350834841009,0,0.371397013601792,2,0,1,0,0,3,0,1,0,0,3,3,0,0.947428035218692,0.964753326747801,0.976911215020361,0.947428035218692,0.964753326747801,0.976911215020361,"2","2","2",0.331308851174349,0.331308851174349,0.673464385937141,299,200,FALSE,0.998410929132478,0,0.999314904894145,0,0.384350834841009,0.396697890600769,0.1573692164071,0.396697890600769,8,6,0.0623738014819557,0.0519420246125234,0.0214923452940541,4,3,0.0771091393491237,0.501183751924136,0.0707740773743322,0.982088888888889,FALSE
"g12cs_weak_01__G12CS__current_1_over_m__07","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",7,83023307,"g12cs_weak_01__seed_7","max_budget_reached",200,FALSE,TRUE,-128128.195537762,1,2344.42364740372,240238632,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.999053471301416,0.923353800409982,0.993751414537472,0.354150712644893,0.381787812434704,0.63582738965267,0.433098767406368,3,0,0,0,0,4,0,0,0,0,4,4,0,0.694027024103523,0.900507591073793,0.739431620937552,0.694027024103523,0.900507591073793,0.739431620937552,"2","2","2",0.22060175164474,0.22060175164474,0.67119687649604,299,200,FALSE,0.999053471301416,0.923353800409982,0.993751414537472,0.923353800409982,0.63582738965267,0.526803653695752,0.277522089547193,0.526803653695752,8,8,0.442829983281199,0.0519420246125234,0.394756329499766,4,4,0.212046766050156,1.32225498072675,0.369386265959907,0.989274074074074,TRUE
"g12cs_weak_01__G12CS__current_1_over_m__08","g12cs_weak_01","weak_loading_separation","current_1_over_m","current_1_over_m","none",8,83023308,"g12cs_weak_01__seed_8","max_budget_reached",200,FALSE,TRUE,-134081.203135158,1,2202.71506309509,240252192,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,0,"1,1,0",1,1,0,0.944102148322012,0.247061377619622,0,0.580525268662314,0.399915423805659,0.979919541575482,0,0,1,2,0,1,1,1,2,0,1,1,1,0,0.89946379969599,0.710482769313001,0.692084905661467,0.863367903887992,0.940263489776784,0.867301013808301,"2","2","2",0.378409845012116,0.378409845012116,0.670590846791146,299,200,FALSE,0.944102148322012,0.247061377619622,0,0,0.979919541575482,0.490511229980113,0.240601266736603,0.490511229980113,8,4,0.192004470311218,0.0519420246125234,0.175348636224369,4,2,0.304099872503992,2.60510868842788,0.927080528024139,0.993066666666667,FALSE
"g12cs_weak_01__G12CS__gram_unit_energy__01","g12cs_weak_01","weak_loading_separation","gram_unit_energy","gram_unit_energy","function",1,83023301,"g12cs_weak_01__seed_1","max_budget_reached",200,FALSE,TRUE,-123765.501408786,1,2336.76619791985,239757328,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.999006091196036,0.999345694601238,0.999359164865394,0.335975843563822,0.365504965789154,0.358453991026529,0.369152031739362,3,0,0,0,0,4,0,0,0,0,4,4,0,0.840130960781211,0.969549018509768,0.932583483666564,0.840130960781211,0.969549018509768,0.932583483666564,"2","2","2",0.164747129593088,0.164747129593088,0.673762035948024,299,200,FALSE,0.999006091196036,0.999345694601238,0.999359164865394,0.999006091196036,0.369152031739362,0.594083411857754,0.35293510024455,0.594083411857754,8,8,0.206532279702128,0.0519420246125234,0.157681944062327,4,4,0.237422117391944,1.76416726414815,0.43061518215855,0.984459259259259,TRUE
"g12cs_weak_01__G12CS__gram_unit_energy__02","g12cs_weak_01","weak_loading_separation","gram_unit_energy","gram_unit_energy","function",2,83023302,"g12cs_weak_01__seed_2","max_budget_reached",200,FALSE,TRUE,-123944.563253591,1,2328.36661243439,239860912,FALSE,TRUE,FALSE,3,4,1,1,1,1,1,1,"1,1,1",1,1,1,0.999312666325115,0.999261290417627,0.999356556782473,0.341905009455987,0.366429859618453,0.355041166057258,0.369099762137994,3,0,0,0,0,4,0,0,0,0,4,4,0,0.849330696982,0.967084319395121,0.943471889160545,0.849330696982,0.967084319395121,0.943471889160545,"2","2","2",0.168300616521878,0.168300616521878,0.672948951715555,299,200,FALSE,0.999312666325115,0.999261290417627,0.999356556782473,0.999261290417627,0.369099762137994,0.434210952761362,0.188539151497929,0.434210952761362,8,8,0.185014453409668,0.0519420246125234,0.135434325971567,4,4,0.197464537661393,1.07352517962853,0.279139037234473,0.985111111111111,TRUE
"g12cs_weak_01__G12CS__gram_unit_energy__03","g12cs_weak_01","weak_loading_separation","gram_unit_energy","gram_unit_energy","function",3,83023303,"g12cs_weak_01__seed_3","max_budget_reached",200,FALSE,TRUE,-129819.981283306,1,2233.46495556831,240210216,FALSE,TRUE,FALSE,3,4,1,1,1,1,0,1,"1,0,1",1,0,1,0.998422478867799,0,0.999316468183262,0.383775678602543,0.384235066339845,0,0.371340649793718,2,0,1,0,0,3,0,1,0,0,3,3,0,0.947594548515618,0.964762724732132,0.976826206812107,0.947594548515618,0.964762724732132,0.976826206812107,"2","2","2",0.331320527641111,0.331320527641111,0.673162431034187,299,200,FALSE,0.998422478867799,0,0.999316468183262,0,0.384235066339845,0.396675254191579,0.157351257287954,0.396675254191579,8,6,0.0627944317631322,0.0519420246125234,0.0219106375366717,4,3,0.0774468058104952,0.500761076283823,0.0704900231227221,0.982111111111111,FALSE
