"continuation_id","source_fit_id","data_id","scenario_id","selection_role","metric","source_400","continuation_800","delta_800_minus_400","relative_change"
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_components_matched",8,8,0,0
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_components_total",8,8,0,0
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","matched_function_recall_mean",0.50377001562884,0.503169640152262,-0.000600375476577986,-0.00119176500774576
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","matched_trajectory_abs_cor_mean",0.954336279798832,0.953062982382338,-0.00127329741649418,-0.0013342230023599
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","matched_score_abs_cor_mean",0.50637467080173,0.503176363176338,-0.00319830762539142,-0.00631608927106804
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_total_ise_mean",0.896050634522066,0.904291325144429,0.00824069062236243,0.00919667963491576
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","feature_estimate_to_projection_ise_mean",0.772003554737943,0.781337521139053,0.00933396640111062,0.0120905743812009
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","kernel_relative_ise_mean",1.47865906135563,1.50286619167945,0.0242071303238189,0.0163710019141437
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","covariance_operator_relative_error_mean",40.1345993418585,42.6363729440621,2.50177360220365,0.0623345852015126
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","P_A",0.999075826702051,0.999069236193126,-6.59050892459767e-06,-6.59660533110179e-06
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","P_B1",0.998526772580824,0.998459524785854,-6.72477949701378e-05,-6.73470124354572e-05
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","P_B2",0.998324373752431,0.998343946890751,1.95731383205722e-05,1.96059906330866e-05
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","canonical_factor_scale_A",4.8107074677642,5.99565317509349,1.18494570732929,0.246314230343339
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","canonical_factor_scale_B1",3.33509804709232,3.94162857517243,0.606530528080111,0.181862877647303
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation","exact_sparse_winner_late_scale_movement","canonical_factor_scale_B2",0.765758137647405,0.89304472496933,0.127286587321925,0.166222963967422
