"continuation_id","source_fit_id","data_id","scenario_id","seed_index","fit_seed","selection_role","terminal_status","source_t1_sweeps","continuation_t1_sweeps","cumulative_t1_sweeps","source_final_elbo","final_elbo","total_elbo_gain","bridge_difference","bridge_monotone","source_snapshot_max_abs_difference","objective_eligible","warning_count","elapsed_seconds","peak_memory_bytes","direction_snapshot_count","truth_used","winner_selection_reopened","automatic_further_extension","formal_v0lv_result"
"g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,87266014,"exact_baseline_marginal_short_rss_control","fixed_800_complete",400,400,800,-123663.752386572,-123603.60615658,60.146229992155,0.249943344999338,TRUE,0,TRUE,1,6120.1765332222,714772936,21,FALSE,FALSE,FALSE,FALSE
"g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,87266067,"exact_sparse_winner_late_scale_movement","fixed_800_complete",400,400,800,-93033.0619912408,-93004.1390433912,28.9229478495836,0.182997855838039,TRUE,0,TRUE,1,5326.93856906891,421166504,21,FALSE,FALSE,FALSE,FALSE
