"experiment_id","continuation_id","source_fit_id","data_id","scenario_id","seed_index","fit_seed","selection_role","adaptive_post_truth_target","source_endpoint_role","source_fit_relative_path","source_fit_sha256","observation_relative_path","observation_sha256","source_final_elbo","source_objective_eligible","source_structure_exact","source_slow_case","source_t1_sweeps","additional_t1_sweeps","cumulative_endpoint","cumulative_checkpoints","n_cpus","outer_parallel_fit_limit","truth_available_to_continuation","winner_selection_reopened","automatic_further_extension","development_only","formal_v0lv_result"
"G12_TARGETED_CONTINUATION_STAGE4G_V1_20260828","g12s4g_base_control__G12__04__to800","g12ss4c_base_01__G12__04","g12ss4c_base_01","baseline_strong",4,87266014,"exact_baseline_marginal_short_rss_control",TRUE,"runner_up","fits/g12ss4c_base_01__G12__04/fit.rds","59de82e0ff81778a01989f9be5b8a51f8874518c604e3278c2aaba18457c6193","data/g12ss4c_base_01/observation_bundle.rds","f1a183dd568ad0838f8c037c5de526304550f9c9feef72d0f35f918670ca8257",-123663.752386572,TRUE,TRUE,TRUE,400,400,800,"400;420;440;460;480;500;520;540;560;580;600;620;640;660;680;700;720;740;760;780;800",1,2,FALSE,FALSE,FALSE,TRUE,FALSE
"G12_TARGETED_CONTINUATION_STAGE4G_V1_20260828","g12s4g_sparse02_winner__G12__07__to800","g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,87266067,"exact_sparse_winner_late_scale_movement",TRUE,"winner","fits/g12ss4c_sparse_02__G12__07/fit.rds","c1a39d02ef6b596b6a263db47b39dcc4daca8e5d5d97822bc69f5fc8c497680c","data/g12ss4c_sparse_02/observation_bundle.rds","895afc709321aad5f8916316c0569c69d86970ca0013f31009d791c41e858c81",-93033.0619912408,TRUE,TRUE,TRUE,400,400,800,"400;420;440;460;480;500;520;540;560;580;600;620;640;660;680;700;720;740;760;780;800",1,2,FALSE,FALSE,FALSE,TRUE,FALSE
