"experiment_id","fit_id","data_id","data_index","data_seed","scenario_id","method_id","fit_config_id","fit_config_index","selection_stratum_id","route_id","seed_index","fit_seed","fit_L_f","fit_L_s_1","fit_L_s_2","fit_M_f","fit_M_s_1","fit_M_s_2","dimension_change","initialization","function_initialization","pre_score_sweeps","anneal","planned_annealing_sweeps","planned_ordinary_t1_sweeps","total_maxit","n_cpus","objective_eligibility_required","truth_free_winner_candidate","cross_model_elbo_comparison_forbidden","cross_dimension_elbo_comparison_forbidden","actual_racing","continuation","automatic_800","capacity_probe","truth_available_to_fit","truth_available_to_stopping","truth_available_to_selection","development_only","engineering_pilot","formal_v0lv_result","formal_paper_mc_result"
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__factor_L3_M2__09","g12s6a_01",1,83131001,"baseline_strong","G12","factor_L3_M2",2,"g12s6a_01__factor_L3_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__factor_L3_M2",9,89301209,3,3,3,"2;2;2","2;2;2","2;2;2","factor_count_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__factor_L3_M2__10","g12s6a_01",1,83131001,"baseline_strong","G12","factor_L3_M2",2,"g12s6a_01__factor_L3_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__factor_L3_M2",10,89301210,3,3,3,"2;2;2","2;2;2","2;2;2","factor_count_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__factor_L3_M2__11","g12s6a_01",1,83131001,"baseline_strong","G12","factor_L3_M2",2,"g12s6a_01__factor_L3_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__factor_L3_M2",11,89301211,3,3,3,"2;2;2","2;2;2","2;2;2","factor_count_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__factor_L3_M2__12","g12s6a_01",1,83131001,"baseline_strong","G12","factor_L3_M2",2,"g12s6a_01__factor_L3_M2","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__factor_L3_M2",12,89301212,3,3,3,"2;2;2","2;2;2","2;2;2","factor_count_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__01","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",1,89301301,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__02","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",2,89301302,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__03","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",3,89301303,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__04","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",4,89301304,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__05","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",5,89301305,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__06","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",6,89301306,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__07","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",7,89301307,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__08","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",8,89301308,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__09","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",9,89301309,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__10","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",10,89301310,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__11","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",11,89301311,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"G12_DIMENSION_OVERSPEC_STAGE6A_V1_20260831","g12s6a_01__fpca_L1_M4__12","g12s6a_01",1,83131001,"baseline_strong","G12","fpca_L1_M4",3,"g12s6a_01__fpca_L1_M4","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400__fpca_L1_M4",12,89301312,1,1,1,"4","4","4","fpca_rank_cap_only","random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
